true label,No_dropout,0_mean,0_std,0.2_mean,0.2_std,0.4_mean,0.4_std,0.6_mean,0.6_std
0,0.003169402,0.004129538,0.002196346,0.0205043,0.010448657,0.0934685,0.026750982,0.17938009,0.040590834
0,0.054549467,0.06282125,0.019508703,0.1650046,0.05167743,0.31752867,0.061997812,0.2884765,0.052651383
0,0.13258132,0.20549479,0.057088736,0.18419865,0.055985194,0.29384306,0.051062502,0.2526355,0.04437115
0,0.001373172,0.001414813,0.00093916,0.000379769,0.000297347,0.000908357,0.000530807,0.000383422,0.000246049
0,0.008259445,0.005776266,0.001681209,0.00651711,0.002643256,0.0173999,0.004826848,0.013501113,0.004230837
0,0.01194288,0.02105995,0.011198862,0.009925046,0.005210828,0.022402322,0.009926085,0.015394267,0.006184499
1,0.62475616,0.5091626,0.087409236,0.6159166,0.09291232,0.53678215,0.06392701,0.40372896,0.05689407
1,0.9178772,0.9230852,0.029181525,0.5732815,0.09494219,0.59440076,0.065150134,0.43994185,0.07115739
0,0.8843875,0.8747612,0.03729013,0.8712622,0.041063208,0.75961214,0.046233248,0.61531913,0.063167416
1,0.84628683,0.7958292,0.04856059,0.8324366,0.048265148,0.7484213,0.05147725,0.7839037,0.038829405
0,0.003993737,0.003726861,0.001719246,0.001431724,0.000794466,0.007061499,0.003079744,0.006481759,0.002457146
0,9.18E-05,7.00E-05,3.89E-05,0.000238457,0.00011972,0.001576547,0.000599679,0.006937698,0.002528824
1,0.9999872,0.99997497,1.60E-05,0.99996907,2.08E-05,0.99960095,0.000217435,0.99779665,0.001181291
1,0.98435444,0.98612547,0.005322767,0.93301624,0.025919491,0.8547751,0.035074346,0.72470963,0.054733776
0,0.06673068,0.069491826,0.027967088,0.027408702,0.01364716,0.04215805,0.013200571,0.06356382,0.01614808
0,0.047128882,0.03358877,0.017407434,0.029318072,0.013947773,0.07390212,0.025430465,0.07926206,0.02413585
1,0.9021769,0.8915251,0.034779437,0.97825044,0.010031081,0.9129627,0.025163794,0.8972886,0.02918283
0,0.13846979,0.18011497,0.059220534,0.19091469,0.059810508,0.35749808,0.06742677,0.3756075,0.05453061
0,0.034232132,0.02721243,0.008951183,0.017613191,0.007219648,0.043979757,0.011996903,0.061947726,0.014780859
0,0.47111684,0.47631338,0.09411963,0.69880205,0.10160836,0.5413595,0.07588891,0.37235296,0.07395382
1,0.039419156,0.032021977,0.011477749,0.027052358,0.011244205,0.04839742,0.014496975,0.04695199,0.013142172
0,0.9332552,0.921535,0.024059197,0.8806657,0.037260134,0.8410181,0.03747835,0.7045504,0.046599526
0,0.26569116,0.24295853,0.05923452,0.19541238,0.059583426,0.24305199,0.049039733,0.373525,0.06554422
1,0.9192646,0.9191674,0.031615615,0.8433284,0.053260636,0.7155109,0.060135324,0.41025758,0.061559103
0,0.29215455,0.25079688,0.08196786,0.32703033,0.100424394,0.31863162,0.059996758,0.320596,0.05526101
0,0.34635866,0.33204034,0.08264261,0.3071196,0.08457647,0.25755173,0.053974483,0.29326117,0.051944062
1,0.96807945,0.9577267,0.016771687,0.98606443,0.006241577,0.9351755,0.018974205,0.934904,0.021981541
1,0.9954353,0.99497414,0.002176449,0.9981292,0.000963239,0.9905679,0.00414822,0.9835068,0.006278607
1,0.7597622,0.7894381,0.060216222,0.8314394,0.056245558,0.7341431,0.052417662,0.55585736,0.052699335
1,0.365265,0.47621307,0.08957498,0.3949501,0.10368809,0.37165117,0.06498524,0.41137254,0.059711844
0,0.022615943,0.0236865,0.007415239,0.03523214,0.013086909,0.04144538,0.011707898,0.04759823,0.013809376
0,0.000302166,0.000216004,0.000106303,0.000378221,0.000214451,0.001401364,0.000614904,0.003919551,0.001653314
1,0.9906648,0.9896871,0.003788865,0.9929486,0.002974181,0.9689621,0.009475316,0.93556905,0.016110728
1,0.96269417,0.96745735,0.014700518,0.96428865,0.016526064,0.90927356,0.026945807,0.71149254,0.05634737
0,0.000562698,0.000546304,0.000293136,0.00076842,0.000382315,0.003618732,0.001615062,0.009652534,0.003462785
1,0.93576336,0.94094694,0.019006621,0.9447107,0.021059813,0.8854845,0.0303683,0.7672811,0.04268764
0,0.001803279,0.003038232,0.001350089,0.002832716,0.00145203,0.004082966,0.001738486,0.007749877,0.0028895
1,0.059394035,0.08146396,0.028788818,0.051376525,0.021908164,0.08455205,0.022701725,0.101738006,0.026830904
0,0.3518883,0.3650339,0.0886448,0.41631857,0.10977878,0.4401336,0.07670166,0.40109894,0.06641125
0,0.9245299,0.88759255,0.033649575,0.8499269,0.05072889,0.70753366,0.0520041,0.6239995,0.05360639
0,0.03665952,0.028801473,0.013885049,0.10320905,0.051466633,0.15845719,0.0426385,0.17325765,0.03711427
0,0.8055124,0.8351948,0.056146726,0.65037745,0.09470383,0.62180954,0.08070476,0.5526724,0.084166996
1,0.29061943,0.30758604,0.0719279,0.2971865,0.08255105,0.30300248,0.055618573,0.27493876,0.04920887
1,0.912431,0.91519725,0.03494256,0.8746067,0.054337434,0.7515315,0.062334094,0.7661688,0.06268432
1,0.91859895,0.9141508,0.02914017,0.8413783,0.049513627,0.670075,0.05525613,0.58100146,0.05861927
0,0.043889996,0.05091575,0.018616064,0.053631496,0.023309033,0.06960821,0.019177485,0.080598444,0.01929179
1,0.59083426,0.52473307,0.10478599,0.5423066,0.10036266,0.61457086,0.06739328,0.5478341,0.0647523
